cod_familiar_fam;n_pessoas_fam;qtd_pessoas_domic_fam
1530263247;3;2.0
1530264308;4;4.0
1530264561;6;4.0
1530264804;6;6.0
1530268478;5;3.0
1530271185;5;5.0
1530272742;4;4.0
1530272904;7;3.0
1530273714;7;2.0
1530275091;4;2.0
1530275415;5;4.0
1530275687;6;4.0
1530284082;5;3.0
1530284678;5;4.0
1530284910;3;3.0
1530287855;4;5.0
1530288070;6;6.0
1530288231;7;2.0
1530288312;1;1.0
1530289394;7;4.0
1530289807;4;4.0
1530290805;8;8.0
1530291020;8;7.0
1530291615;3;1.0
1530291704;4;3.0
1530294630;5;2.0
1530295106;9;9.0
1530295955;3;2.0
1530296927;7;5.0
1530297060;4;4.0
1530299780;6;4.0
1530300037;4;3.0
1530300118;4;5.0
1530300541;6;4.0
1530301190;5;2.0
